ClassId,SignName,,,,frequancy in train data
0,Speed limit (20km/h),,,,[[   0  180]
1,Speed limit (30km/h),,,, [   1 1980]
2,Speed limit (50km/h),,,, [   2 2010]
3,Speed limit (60km/h),,,, [   3 1260]
4,Speed limit (70km/h),,,, [   4 1770]
5,Speed limit (80km/h),,,, [   5 1650]
6,End of speed limit (80km/h),,,, [   6  360]
7,Speed limit (100km/h),,,, [   7 1290]
8,Speed limit (120km/h),,,, [   8 1260]
9,No passing,,,, [   9 1320]
10,No passing for vehicles over 3.5 metric tons,,,, [  10 1800]
11,Right-of-way at the next intersection,,,, [  11 1170]
12,Priority road,,,, [  12 1890]
13,Yield,,,, [  13 1920]
14,Stop,,,, [  14  690]
15,No vehicles,,,, [  15  540]
16,Vehicles over 3.5 metric tons prohibited,,,, [  16  360]
17,No entry,,,, [  17  990]
18,General caution,,,, [  18 1080]
19,Dangerous curve to the left,,,, [  19  180]
20,Dangerous curve to the right,,,, [  20  300]
21,Double curve,,,, [  21  270]
22,Bumpy road,,,, [  22  330]
23,Slippery road,,,, [  23  450]
24,Road narrows on the right,,,, [  24  240]
25,Road work,,,, [  25 1350]
26,Traffic signals,,,, [  26  540]
27,Pedestrians,,,, [  27  210]
28,Children crossing,,,, [  28  480]
29,Bicycles crossing,,,, [  29  240]
30,Beware of ice/snow,,,, [  30  390]
31,Wild animals crossing,,,, [  31  690]
32,End of all speed and passing limits,,,, [  32  210]
33,Turn right ahead,,,, [  33  599]
34,Turn left ahead,,,, [  34  360]
35,Ahead only,,,, [  35 1080]
36,Go straight or right,,,, [  36  330]
37,Go straight or left,,,, [  37  180]
38,Keep right,,,, [  38 1860]
39,Keep left,,,, [  39  270]
40,Roundabout mandatory,,,, [  40  300]
41,End of no passing,,,, [  41  210]
42,End of no passing by vehicles over 3.5 metric tons,,,, [  42  210]]
